tx_depth_ndx,rx_depth_ndx,rx_range_ndx,tx_depth,rx_depth,rx_range,arrival_number,arrival_amplitude,time_of_arrival,complex_time_of_arrival,angle_of_departure,angle_of_arrival,surface_bounces,bottom_bounces
0,0,0,2.0,4.0,50.0,39,(0.00045251207105118216-0.0001028368246474765j),0.0552004687,(0.0552004687-3.7145233e-07j),52.7090302,52.7090302,4,4
0,0,0,2.0,4.0,50.0,40,(0.00016739258190800243-7.781969136079957e-06j),0.0551993586,(0.0551993586-3.71444855e-07j),53.2441483,53.2441483,4,4
0,0,0,2.0,4.0,50.0,41,(-0.00023880630134671716+1.4786680576114472e-06j),0.0595389605,(0.0595389605-4.00646684e-07j),55.9197311,-55.9197311,4,5
0,0,0,2.0,4.0,50.0,42,(-1.5012858258947853e-05-5.516930952231412e-06j),0.0595366955,(0.0595366955-4.0063145e-07j),56.4548492,-56.4548492,4,5
0,0,0,2.0,4.0,50.0,43,(2.729967676216961e-05-0.0002043450071810763j),0.0640281513,(0.0640281513-4.30855124e-07j),58.5953178,58.5953178,5,5
0,0,0,2.0,4.0,50.0,44,(6.993979501767243e-06-1.0602060073728411e-05j),0.0640252978,(0.0640252978-4.30835939e-07j),59.1304359,59.1304359,5,5
0,0,0,2.0,4.0,50.0,45,(-5.255269882817748e-05-1.5127344907622361e-05j),0.068637073,(0.068637073-4.61869263e-07j),60.7357864,-60.7357864,5,6
0,0,0,2.0,4.0,50.0,46,(-3.1922265056502846e-05-1.2908774054675245e-05j),0.0686364248,(0.0686364248-4.61864914e-07j),61.2709045,-61.2709045,5,6
0,0,0,2.0,4.0,50.0,47,(-3.468784310630763e-05+5.55374288693433e-05j),0.0733453557,(0.0733453557-4.93552022e-07j),62.876255,62.876255,6,6
0,0,0,2.0,4.0,50.0,48,(-1.0441760334610059e-05+8.494267767787557e-06j),0.0733432695,(0.0733432695-4.93537982e-07j),63.4113731,63.4113731,6,6
