tx_depth_ndx,rx_depth_ndx,rx_range_ndx,tx_depth,rx_depth,rx_range,arrival_number,arrival_amplitude,time_of_arrival,complex_time_of_arrival,angle_of_departure,angle_of_arrival,surface_bounces,bottom_bounces
0,0,0,2.0,4.0,50.0,56,(2.8874669741107156e-05-4.2904256996883546e-05j),0.0640252978,(0.0640252978-4.30835939e-07j),59.1304359,59.1304359,5,5
0,0,0,2.0,4.0,50.0,57,(-0.00027555617212124536-8.320508478378604e-05j),0.068637073,(0.068637073-4.61869263e-07j),60.7357864,-60.7357864,5,6
0,0,0,2.0,4.0,50.0,58,(-0.0001658746571547604-6.969599421185083e-05j),0.0686364248,(0.0686364248-4.61864914e-07j),61.2709045,-61.2709045,5,6
0,0,0,2.0,4.0,50.0,59,(-0.00018184666412197212+0.0002817759759546928j),0.0733453557,(0.0733453557-4.93552022e-07j),62.876255,62.876255,6,6
0,0,0,2.0,4.0,50.0,60,(-5.380215059143489e-05+4.24277027197376e-05j),0.0733432695,(0.0733432695-4.93537982e-07j),63.4113731,63.4113731,6,6
0,0,0,2.0,4.0,50.0,61,(-0.00012604961085581172-0.00017114845355869362j),0.0781329274,(0.0781329274-5.25768314e-07j),64.7429504,-64.7429504,6,7
0,0,0,2.0,4.0,50.0,62,(1.662874929800389e-05-0.00010730567554036116j),0.0829879493,(0.0829879493-5.58438444e-07j),66.0869598,66.0869598,7,7
0,0,0,2.0,4.0,50.0,63,(1.8607505019092005e-05-7.800496898867598e-05j),0.0829874501,(0.0829874501-5.58435147e-07j),66.6220703,66.6220703,7,7
0,0,0,2.0,4.0,50.0,64,(9.602612412631209e-05-1.6282622987774223e-06j),0.0878989249,(0.0878989249-5.91485161e-07j),67.6923065,-67.6923065,7,8
0,0,0,2.0,4.0,50.0,65,(3.451085818670844e-06+2.0567343297564708e-06j),0.0878954083,(0.0878954083-5.91461514e-07j),68.2274246,-68.2274246,7,8
0,0,0,2.0,4.0,50.0,66,(-4.894676967255186e-05-2.9841718084715423e-05j),0.0928553566,(0.0928553566-6.24837753e-07j),68.7625427,68.7625427,8,8
0,0,0,2.0,4.0,50.0,67,(-2.5215597539160006e-05-2.1659908743404756e-05j),0.0928543359,(0.0928543359-6.24830875e-07j),69.2976608,69.2976608,8,8
0,0,0,2.0,4.0,50.0,68,(-1.389138404237975e-05-2.1976017692640214e-05j),0.097852312,(0.097852312-6.58463023e-07j),69.8327789,-69.8327789,8,9
0,0,0,2.0,4.0,50.0,69,(-8.704712176819936e-06-2.0505325188687834e-05j),0.0978512913,(0.0978512913-6.58456145e-07j),70.3678894,-70.3678894,8,9
0,0,0,2.0,4.0,50.0,70,(-2.4291997079600954e-05+1.5222996129134126e-05j),0.102882311,(0.102882311-6.92310664e-07j),70.9030075,70.9030075,9,9
0,0,0,2.0,4.0,50.0,71,(-1.4627375352416584e-05+5.510472880279414e-06j),0.102881052,(0.102881052-6.92302137e-07j),71.4381256,71.4381256,9,9
